"iter","loss","grad_norm","b","w1","w2"
0,0.000569274695467809,0.0153395460868169,0.1,0.8,0.3
1,0.000547172273905477,0.0135047360714771,0.101147167488555,0.800075264531154,0.301015558341528
2,0.000529974770655331,0.0119919023025169,0.102102890617614,0.800178234199069,0.301964120153787
5,0.000496241907252418,0.00894303645428392,0.104088500942974,0.800621095357513,0.304490622922765
10,0.000465725779648662,0.00682418835375564,0.105553135035186,0.801662935616442,0.307984137003142
25,0.000410020727513826,0.00567052524002788,0.105313289593239,0.805691380818287,0.31613698645355
50,0.000340288711656391,0.00489807626000445,0.103000446080798,0.812742854028805,0.327063454095465
75,0.000287857473927432,0.0042583649608356,0.100981168969037,0.819202524959557,0.336305893230401
100,0.000248111289482336,0.00371327012265456,0.0992640472017925,0.824924071788147,0.344293218282426
